,ROA 稅前息前折舊前,ROA 稅後息前,ROA 稅後息前折舊前,ROE 稅後,ROE 常續利益,已實現銷貨毛利率,營業利益率,稅前淨利率,稅後淨利率,業外收支 / 營收,常續利益率 稅後,營業費用率,現金流量比率,有息負債利率,稅率,每股淨值,常續性 EPS,每股營業利益,每股稅前淨利,營業毛利成長率,已實現銷貨毛利成長率,營業利益成長率,稅前淨利成長率,稅後淨利成長率,經常淨利成長率,常續淨利成長率,總負債 / 總淨值,負債比率,淨值 / 資產,長期資金適合率,借款依存度,或有負債 / 淨值,營業利益 / 實收資本比,稅前純益 / 實收資本,存貨及應收帳款 / 淨值,應收帳款週轉次數,固定資產週轉次數,淨值週轉率（次）,淨營業週期（日）,存貨週轉率大於 8.515,有投保董監責任險,獨立董監有兼任,3 年內 CPA 有異動,董事長兼任總經理,董事長內部化,總經理內部化,監察人內部化,3 年內董事長有異動,3 年內總經理有異動,3 年內財務主管有異動,3 年內發言人有異動,3 年內內部稽核有異動,四大會計師事務所簽證
ROA 稅前息前折舊前,1.0,0.9157537986185164,0.9887551271993421,0.8663686798552828,0.8905247474301281,0.5606719696957388,0.5596734136753254,0.35429170386645126,0.1422593560236576,0.20052573568602078,0.3403050679810431,-0.2939329832106191,0.542382148229792,-0.09299688257601138,0.44475874074398625,0.5207407940416029,0.8075672048461014,0.8004296825941676,0.791743852164422,0.10131200012127861,0.10127960488607901,0.1193911026402138,0.20511748562962429,0.324677324310307,0.31963025671968787,0.3032742850683754,-0.26801609573528135,-0.22068478726018856,0.2206847872601886,-0.019582996512636872,-0.2921544287741242,0.00402978393751776,0.8001082471854066,0.7840034752251673,-0.14822740894265685,0.1192129196079996,0.018656300294859367,0.0712717699369788,-0.065707405664191,0.04527266247631865,0.013772054771250828,0.021224545102132418,-0.10875250567794072,-0.06569146443578296,0.04999500419721056,-0.055072972409843435,-0.057923952034954776,-0.10347339803882856,-0.08506437328481292,-0.11005536001458206,0.03171358959186513,-0.05430973900728443,0.2661500888505849
ROA 稅後息前,0.9157537986185164,1.0,0.9278964632539017,0.9584004606764299,0.9182179576446678,0.5621360779677381,0.5641848488342995,0.36961907161769125,0.13471784704209303,0.2266659925972041,0.3465766791731754,-0.2897594752596594,0.4428684171917248,-0.1426053020802751,0.4432407035902242,0.48129907067317174,0.8193236629885025,0.7888193743822998,0.8195351671993435,0.1713175483513815,0.17129262536940487,0.11811685473281369,0.24137977239956968,0.36400778882658463,0.3866628398993131,0.3288366205489725,-0.2765765448750619,-0.23297432206390886,0.2329743220639089,-0.00546300588343734,-0.336545024804041,-0.008187446026421772,0.7888893543052797,0.813226497774705,-0.12209771923751618,0.1464978421891905,0.08936222671942566,0.11702471675476457,-0.09032394356155819,-0.029382589642710306,0.008120843553320985,0.00202788076189847,-0.08852493362692661,-0.05755488098178608,0.06343592464542247,-0.04745097519823203,-0.015049280767892307,-0.07020045520688924,-0.061875736608199734,-0.07144125451492403,0.02363773728304927,-0.025520800870012027,0.24971153512275923
ROA 稅後息前折舊前,0.9887551271993421,0.9278964632539017,1.0,0.879528845489805,0.9122110455518648,0.5566792616794686,0.5679750126773795,0.35899708239504347,0.14647747212316603,0.20249721115013156,0.34867310937826174,-0.3013502673650991,0.5395861869099179,-0.09759229129806614,0.41510403377886085,0.5029564892733233,0.8042081023252201,0.7822372302750259,0.7727082591681033,0.11752126070610816,0.1174857298427622,0.11500270548590201,0.21181488001963208,0.33413871739722684,0.33159679842235856,0.32070327620167166,-0.27579632977925256,-0.23301982156132015,0.2330198215613202,-0.0036541994105767617,-0.2999467488668056,0.004870668095256495,0.7819719879676459,0.7645586288785577,-0.15580266237923884,0.12754588206788073,0.04076333932066366,0.07731948295795353,-0.06918888833103687,0.04212465609486927,0.018060239170945236,0.020190764500301085,-0.11508033350141651,-0.05816611024743776,0.04684279733691925,-0.056102456519518035,-0.05269754888462425,-0.09343994096766861,-0.07366655642659488,-0.10789228930153512,0.028586842695830547,-0.05466925586679349,0.26757183141214097
ROE 稅後,0.8663686798552828,0.9584004606764299,0.879528845489805,1.0,0.9457852617444967,0.5194560770556744,0.5234009337163114,0.34290708302010103,0.12851331906059893,0.21064334120141703,0.3181698612652629,-0.26118776070435307,0.3514056320668976,-0.16349613947814526,0.4541955303783767,0.4653256127109371,0.791078419702255,0.7609997755023662,0.7992136952972569,0.19235138024453852,0.19233068093796565,0.11731118319712133,0.21334249732159616,0.34164146675202,0.36868430337441854,0.3282815801525602,-0.26837445924305625,-0.19890111420999204,0.1989011142099921,-0.0019971240820747345,-0.36975998266623866,-0.0031064467902652856,0.7609981181910983,0.7907282164860777,-0.1221003566055651,0.16612471856593578,0.11142616828765094,0.16018363952477885,-0.11347401077130471,0.009836020132684923,-0.01531330846928545,0.018414754558397053,-0.0850474005232873,-0.06965266316844745,0.05382424521053175,-0.05649364365732027,-0.007609881276421988,-0.0867570706555603,-0.05945714508904619,-0.06050790903751261,0.02570630758161879,-0.047801465662326265,0.25227362038107487
ROE 常續利益,0.8905247474301281,0.9182179576446678,0.9122110455518648,0.9457852617444967,1.0,0.5452678553552555,0.5084018871240635,0.3110081480168606,0.11605301304981129,0.17070592500121254,0.3050935704326652,-0.24027789680034306,0.37901332726349596,-0.18375413726986034,0.4256865628745567,0.5046061761300422,0.8241758795643274,0.7905376369088423,0.7805699073683463,0.13675285597140252,0.13672995715536912,0.11314365025277183,0.1776656055870337,0.3089638826719872,0.3111283528525915,0.31932688696666783,-0.3089781123187354,-0.23958896829220838,0.2395889682922085,0.0067914913176797265,-0.3854530377345446,0.002164165978306136,0.7906570759087045,0.7725715373360738,-0.15911549655984542,0.17886483659286762,0.1259764826037444,0.1420624510159013,-0.11032056092376077,0.010065388549744505,0.027644532670814972,0.05530860342616225,-0.10857076748766858,-0.042858184090225286,0.058433419187709425,-0.03102397100112664,-0.012226751340379935,-0.08076876157180751,-0.07599715293509694,-0.08757999658686395,0.01704078310449127,-0.05937405491830353,0.29369078152916744
已實現銷貨毛利率,0.5606719696957388,0.5621360779677381,0.5566792616794686,0.5194560770556744,0.5452678553552555,1.0,0.5470725060614887,0.4395697712928436,0.04361657863920488,0.33984540579296785,0.424630884015474,-0.22004510244625844,0.4105170869070525,-0.2582397121128046,0.23219801526312228,0.34942899875148037,0.530289581708102,0.5103844562572227,0.5042296596135845,0.13412369801379787,0.13416266908411406,0.032463440765973454,0.004992291046115324,0.1343260497664796,0.12705465246566455,0.11295330503388182,-0.3453931336155002,-0.3581799197683196,0.3581799197683196,-0.04912482985724114,-0.38670283898887203,-0.04386567618666622,0.5109737392505692,0.5075818376299955,-0.25863685060647496,0.2660812594627945,0.12092824213651387,-0.1326019791798291,-0.24032811508225604,-0.12041967023838905,0.004219192256458532,0.05458316608119025,-0.07266401643176651,-0.012339259054195315,0.0566130176430934,0.018360013366723417,0.043939635298082695,-0.09949262569736021,-0.08539606942682644,-0.06825082760185654,-0.015168315952379378,0.013722965050506205,0.2044504821121641
營業利益率,0.5596734136753254,0.5641848488342995,0.5679750126773795,0.5234009337163114,0.5084018871240635,0.5470725060614887,1.0,0.9456775470084335,0.0757091360029244,0.8320580746295386,0.9253505106945489,-0.8772205311468337,0.31376663643491925,-0.010667209172021576,0.3057354704912932,0.23245089039031003,0.4478103383970033,0.4155009038230136,0.4256347433091485,0.13700870164208037,0.13699275915749706,0.04729254396264875,0.09694629517343721,0.1368578067198741,0.15990480238257587,0.15622264675237924,-0.05350877809681155,-0.012402778564941461,0.012402778564941468,-0.36657365495823274,-0.08259087261921938,0.0076244585532531895,0.41568199588377924,0.4347672201605515,0.09211070832739086,0.11481826826061652,0.07393996251762275,0.17978988976903773,-0.41376526199543506,0.03885458422304216,0.008015022096545206,-0.005516459169959237,0.02120293534293245,-0.008884922349908645,-0.004463736091763854,-0.066366234590542,-0.03434228940752697,0.006859055170538628,-0.02343931366638075,-0.09280907167275664,0.05852329331454669,-0.04648664426632323,0.09909079966602344
稅前淨利率,0.35429170386645126,0.36961907161769125,0.35899708239504347,0.34290708302010103,0.3110081480168606,0.4395697712928436,0.9456775470084335,1.0,0.0419312682335872,0.9513030098025461,0.9868627558457228,-0.9527791738156942,0.2064754322827446,0.020015427102387746,0.21210550682086582,0.13839930846214313,0.27119816063354707,0.23782663923763814,0.2652130767714568,0.08694159586649995,0.0869367107984304,0.016549415346992957,0.05173256499115154,0.061214601666198444,0.09193135710367101,0.07875221314589048,0.0028482892839738574,0.036187705518023264,-0.03618770551802327,-0.44282707311945674,-0.008515906568569539,0.009642366954738333,0.2379209237608911,0.27413563763231097,0.12022469868828906,0.1181601931291664,0.0632163413409094,0.16900492304220063,-0.47628291091201136,0.056021814935787666,-0.025217249349991058,-0.014325891941152939,0.046011647416726364,-0.011284512828225974,-0.02470853023233619,-0.0599187308018876,-0.004859552836133076,0.04767975158181582,0.001466139160912266,-0.03755833504721096,0.08153248023163664,-0.01603630121080707,0.06594428584116444
稅後淨利率,0.1422593560236576,0.13471784704209303,0.14647747212316603,0.12851331906059893,0.11605301304981129,0.04361657863920488,0.0757091360029244,0.0419312682335872,1.0,-0.0416251966501058,0.026342241830069793,-0.032203101477448384,0.2933000637323204,-0.06010544688250655,0.03274462025356534,0.057753537377548805,0.06412104024363544,0.07111404099197671,0.08093777321914657,0.0032280869680448776,0.0032256418811561945,0.008910013236526763,0.025659972097011662,0.08403166163907307,0.04664223709767528,0.040072391312213074,-0.06287391201998697,-0.08000311408096714,0.08000311408096714,0.6409396091141977,-0.03261117210803421,0.00128362073644105,0.07122038726727106,0.0739350756145607,0.009970715420000784,-0.010727943323152838,0.006435595210560429,0.013209033139932462,0.7016539946077246,0.0024094271519304617,-0.0958760017302312,-0.0719122233913672,-0.0007391786170816255,-0.056259630683679764,-0.10402564182612857,-0.07696788166318172,-0.04345996092693618,0.0014253176790552545,-0.05506453530573255,-0.04429682629993379,-0.002476133291897635,-0.03899965480317,0.07563631908353774
業外收支 / 營收,0.20052573568602078,0.2266659925972041,0.20249721115013156,0.21064334120141703,0.17070592500121254,0.33984540579296785,0.8320580746295386,0.9513030098025461,-0.0416251966501058,1.0,0.9488118443579774,-0.917428592559619,0.11678374879222635,0.03873964046208391,0.14179855717503845,0.07040581325996056,0.14623760120392146,0.1153369285539601,0.15107294632302778,0.046351996624496204,0.04635379087227165,-0.0036558053852882035,0.01894523078279974,0.0027570986756428424,0.03935601852296006,0.02097186779157103,0.033138597462963604,0.06715546661075164,-0.06715546661075163,-0.5247147331361262,0.050919044152151496,0.00984916636064857,0.11539861746948424,0.1598973015211514,0.12660248447781336,0.10811355890564217,0.051054748159487934,0.14709018631572224,-0.526039445699403,0.05987508611433419,-0.03266186076169217,-0.004433942018747639,0.05612214926496505,-0.01835170305951783,-0.024336685027188422,-0.03604210470428451,0.0068130858332712116,0.06848236051314498,0.005324545249274334,0.025571763993149706,0.08791200078233097,0.02876772045623377,0.05658618940423701
常續利益率 稅後,0.3403050679810431,0.3465766791731754,0.34867310937826174,0.3181698612652629,0.3050935704326652,0.424630884015474,0.9253505106945489,0.9868627558457228,0.026342241830069793,0.9488118443579774,1.0,-0.9563436159216161,0.20703534734905488,0.028054557667566836,0.20114552013123482,0.12253347735174792,0.26829108756573605,0.2295367472046539,0.24901170409197304,0.07451829154536092,0.07451251890066736,0.013542878856752249,0.04281479425821364,0.04722080324258109,0.07493321602312429,0.07467513488055101,0.004929349284872814,0.042673819855459094,-0.04267381985545909,-0.4606079749874205,-0.0024313082265279068,0.010823655426138584,0.22961715665023508,0.2581092942042154,0.12250643526891389,0.11791447700294803,0.06703603187708775,0.1725264297634715,-0.4910620294932604,0.058426502736603304,-0.009450008002970437,-0.0038663336348106576,0.04564553139320694,0.006492827695770124,-0.019764137660850962,-0.04210103713230192,-0.018876691543238143,0.04259932973061034,-0.013185607047480423,-0.03718222353667654,0.06857389771703937,-0.011384524302939875,0.0679100987533638
營業費用率,-0.2939329832106191,-0.2897594752596594,-0.3013502673650991,-0.26118776070435307,-0.24027789680034306,-0.22004510244625844,-0.8772205311468337,-0.9527791738156942,-0.032203101477448384,-0.917428592559619,-0.9563436159216161,1.0,-0.18810126232628624,-0.09884563686417297,-0.22210253863827278,-0.1058854285284867,-0.2096849842881243,-0.18381961235689015,-0.20144594250732165,-0.04866242213713509,-0.04863640223320822,-0.020580647859100555,-0.0670116092821903,-0.03757308719096368,-0.068021160008194,-0.06685258212793234,-0.10128700006402981,-0.15454165925804475,0.15454165925804472,0.46980331010602994,-0.10281060866495577,-0.025331900806210273,-0.18368676706202713,-0.21053546699425782,-0.21663641927874724,-0.0445014768402766,-0.036599762203767344,-0.2483790999104553,0.4408700742440984,-0.10829799977376553,0.012679256817529782,0.030560760407507544,-0.068106098195788,0.01781695524229461,0.018221331276796624,0.05919461552266907,0.040329496449438174,-0.0643727942974284,0.009259170567177588,0.03577622715948257,-0.09256417318422248,0.021131365580811995,-0.062439585065312685
現金流量比率,0.542382148229792,0.4428684171917248,0.5395861869099179,0.3514056320668976,0.37901332726349596,0.4105170869070525,0.31376663643491925,0.2064754322827446,0.2933000637323204,0.11678374879222635,0.20703534734905488,-0.18810126232628624,1.0,-0.11298668600582967,0.1993333384609086,0.29828022409074906,0.35048880506705155,0.34515396676795546,0.32391878827799125,-0.007197638904111148,-0.007206157091106157,0.04370722283822023,0.04618650485688987,0.10568218557413138,0.08012747382071979,0.07259897158751386,-0.2697791030616859,-0.31374176033356205,0.31374176033356194,0.13825439666125042,-0.24305889362168376,-0.006199125485902632,0.3441480223251358,0.3216639530116012,-0.2774839728939975,0.08545531507521176,0.015203067799597018,-0.12254913146655523,0.09770473305208131,0.07041484362585787,0.0316206657796873,-0.05901892777229547,-0.07170933961089454,-0.06239354177730472,0.021277997532597206,-0.021134965105082684,-0.09447076280352797,-0.05157660076781737,-0.10674985586524781,-0.03573302977977822,-0.023786561312168462,0.022649264694161203,0.19787245175511112
有息負債利率,-0.09299688257601138,-0.1426053020802751,-0.09759229129806614,-0.16349613947814526,-0.18375413726986034,-0.2582397121128046,-0.010667209172021576,0.020015427102387746,-0.06010544688250655,0.03873964046208391,0.028054557667566836,-0.09884563686417297,-0.11298668600582967,1.0,-0.03565696343772255,-0.1380084262317015,-0.09005674014901573,-0.06769295354811407,-0.0717357161663236,-0.017689000241644364,-0.017702713927286645,-0.07751802250143504,0.06384421286443347,-0.006647903185590724,-0.016841304191487893,0.01810875947409506,0.31848748052789905,0.3362676114158263,-0.33626761141582645,-0.2009589430147001,0.3585683158596465,0.03487374081185384,-0.06709388752112841,-0.07682887047677857,0.32898543154687243,-0.1839805516463401,-0.18648764455125055,0.23864170468574714,-0.004860221601979795,0.015473725129026191,-0.11028447885107671,-0.15496103471764242,0.07537196891246795,-0.042108467503473586,-0.06934983606294465,-0.01777688071076931,-0.13500542468795854,0.0070056355454027105,0.008636624359638847,-0.04915056122449447,-0.01956074782680136,-0.022594715004264198,-0.12379008669788512
稅率,0.44475874074398625,0.4432407035902242,0.41510403377886085,0.4541955303783767,0.4256865628745567,0.23219801526312228,0.3057354704912932,0.21210550682086582,0.03274462025356534,0.14179855717503845,0.20114552013123482,-0.22210253863827278,0.1993333384609086,-0.03565696343772255,1.0,0.3484987220651466,0.394127738186796,0.4129593814972865,0.4209458646662578,-0.020762029822739347,-0.020763025702584505,0.09995959980110852,0.15109633111621582,0.2269009173746538,0.21306216285398571,0.18075087729554337,-0.059096186738997275,0.021197478422159237,-0.02119747842215923,-0.14652263569862078,-0.08873676227625227,0.08814595452575681,0.4128197548525203,0.43109294253221764,0.03828265223699876,-0.09663237447834598,-0.07711338255334133,0.09840125607049449,-0.06967265171049979,-0.02061624601362272,0.06484799278116696,0.10690833336701061,-0.04414481105026261,0.028352965836664582,0.13739563320044423,0.05663679940392877,-0.08113719544147634,-0.007432231150209665,-0.0547422086765871,-0.012322071123311086,0.037431242729549646,0.059310884406083786,0.22404510290123814
每股淨值,0.5207407940416029,0.48129907067317174,0.5029564892733233,0.4653256127109371,0.5046061761300422,0.34942899875148037,0.23245089039031003,0.13839930846214313,0.057753537377548805,0.07040581325996056,0.12253347735174792,-0.1058854285284867,0.29828022409074906,-0.1380084262317015,0.3484987220651466,1.0,0.6881118391666703,0.699874519368086,0.6961869165179877,-0.04422679424329522,-0.04421853151179714,0.03718840529823321,0.039167057014910064,0.09377854357764236,0.06836209865450389,0.08491378298166621,-0.258324185328003,-0.19750703276712817,0.19750703276712822,-0.02832306129806692,-0.302089493187394,0.020430719377142616,0.6999532461899608,0.6947037887204776,-0.18854652312934153,0.06388561131501945,-0.04152253976952935,-0.07488682850844913,-0.01201148158475776,-0.02791552553472035,0.13476796374604136,0.16543242770621563,-0.04993201201906454,-0.07767358659299704,-0.021514260247620067,-0.03942607021782772,0.07535339067584576,0.01100494208422561,-0.01873965824973454,-0.011952905232882078,0.04207029706847807,0.029879223291467825,0.26788936007788383
常續性 EPS,0.8075672048461014,0.8193236629885025,0.8042081023252201,0.791078419702255,0.8241758795643274,0.530289581708102,0.4478103383970033,0.27119816063354707,0.06412104024363544,0.14623760120392146,0.26829108756573605,-0.2096849842881243,0.35048880506705155,-0.09005674014901573,0.394127738186796,0.6881118391666703,1.0,0.974616494074858,0.9704473613012272,0.06516828841920011,0.06517016188964837,0.0799930885836915,0.1375980531914276,0.23510145241387623,0.23256373694052487,0.22493906606185965,-0.20726129228903353,-0.13271281925018427,0.13271281925018436,-0.06470472414858298,-0.29238366182114495,-0.009128091427089124,0.974835255800214,0.9744326534729416,-0.11262716348226713,0.1680930001793521,0.06670199830456433,0.14749567950398385,-0.09654385729599216,-0.026036266953294338,0.0729213471754899,0.037578713385167,-0.07338772313158752,-0.08095383933557897,0.005475743880458541,-0.05494071092768503,0.004503767958150119,-0.06307360613844057,-0.05633319081908827,-0.04062165966991224,0.01061412622442595,-0.033242247838090135,0.2408961045432365
